district,crop_name,season_type,season_year,target_hectares,committed_hectares,source
Polonnaruwa,Carrot,Maha,2022,39.8,40.5,synthetic_proxy
Puttalam,Carrot,Maha,2022,45.4,49.6,synthetic_proxy
Ratnapura,Carrot,Maha,2022,108.3,111.3,synthetic_proxy
Trincomalee,Carrot,Maha,2022,33.8,36.0,synthetic_proxy
Vavuniya,Carrot,Maha,2022,37.2,34.1,synthetic_proxy
Ampara,Carrot,Yala,2022,105.6,103.3,synthetic_proxy
Anuradhapura,Carrot,Yala,2022,98.1,100.4,synthetic_proxy
Badulla,Carrot,Yala,2022,249.1,273.6,synthetic_proxy
Batticaloa,Carrot,Yala,2022,46.6,44.4,synthetic_proxy
Colombo,Carrot,Yala,2022,231.7,246.2,synthetic_proxy
Galle,Carrot,Yala,2022,55.3,53.5,synthetic_proxy
Gampaha,Carrot,Yala,2022,93.0,91.6,synthetic_proxy
Hambantota,Carrot,Yala,2022,159.3,175.1,synthetic_proxy
Jaffna,Carrot,Yala,2022,75.7,57.6,synthetic_proxy
Kalutara,Carrot,Yala,2022,55.8,47.1,synthetic_proxy
Kandy,Carrot,Yala,2022,116.4,95.7,synthetic_proxy
Kegalle,Carrot,Yala,2022,60.1,43.3,synthetic_proxy
Kilinochchi,Carrot,Yala,2022,43.7,40.2,synthetic_proxy
Kurunegala,Carrot,Yala,2022,209.1,228.0,synthetic_proxy
Mannar,Carrot,Yala,2022,52.5,50.7,synthetic_proxy
Matale,Carrot,Yala,2022,138.0,141.3,synthetic_proxy
Matara,Carrot,Yala,2022,77.6,87.7,synthetic_proxy
Monaragala,Carrot,Yala,2022,76.5,88.7,synthetic_proxy
Mullaitivu,Carrot,Yala,2022,44.8,44.4,synthetic_proxy
Nuwara Eliya,Carrot,Yala,2022,159.1,184.9,synthetic_proxy
Polonnaruwa,Carrot,Yala,2022,53.8,54.4,synthetic_proxy
Puttalam,Carrot,Yala,2022,61.4,55.2,synthetic_proxy
Ratnapura,Carrot,Yala,2022,146.4,135.9,synthetic_proxy
Trincomalee,Carrot,Yala,2022,45.7,37.6,synthetic_proxy
Vavuniya,Carrot,Yala,2022,50.3,44.9,synthetic_proxy
Ampara,Carrot,Maha,2023,111.3,106.6,synthetic_proxy
Anuradhapura,Carrot,Maha,2023,103.4,113.4,synthetic_proxy
Badulla,Carrot,Maha,2023,262.7,316.9,synthetic_proxy
Batticaloa,Carrot,Maha,2023,49.1,41.0,synthetic_proxy
Colombo,Carrot,Maha,2023,244.4,255.9,synthetic_proxy
Galle,Carrot,Maha,2023,58.3,51.0,synthetic_proxy
Gampaha,Carrot,Maha,2023,98.0,103.6,synthetic_proxy
Hambantota,Carrot,Maha,2023,168.0,165.3,synthetic_proxy
Jaffna,Carrot,Maha,2023,79.8,62.3,synthetic_proxy
Kalutara,Carrot,Maha,2023,58.8,65.4,synthetic_proxy
Kandy,Carrot,Maha,2023,122.7,113.8,synthetic_proxy
Kegalle,Carrot,Maha,2023,63.4,59.4,synthetic_proxy
Kilinochchi,Carrot,Maha,2023,46.1,40.2,synthetic_proxy
Kurunegala,Carrot,Maha,2023,220.6,203.3,synthetic_proxy
Mannar,Carrot,Maha,2023,55.4,58.3,synthetic_proxy
Matale,Carrot,Maha,2023,145.6,142.2,synthetic_proxy
Matara,Carrot,Maha,2023,81.8,85.1,synthetic_proxy
Monaragala,Carrot,Maha,2023,80.7,84.2,synthetic_proxy
Mullaitivu,Carrot,Maha,2023,47.2,54.7,synthetic_proxy
Nuwara Eliya,Carrot,Maha,2023,167.8,160.9,synthetic_proxy
Polonnaruwa,Carrot,Maha,2023,56.7,46.7,synthetic_proxy
Puttalam,Carrot,Maha,2023,64.7,73.0,synthetic_proxy
Ratnapura,Carrot,Maha,2023,154.4,148.2,synthetic_proxy
Trincomalee,Carrot,Maha,2023,48.2,54.7,synthetic_proxy
Vavuniya,Carrot,Maha,2023,53.0,55.5,synthetic_proxy
Ampara,Carrot,Yala,2023,170.0,167.4,synthetic_proxy
Anuradhapura,Carrot,Yala,2023,158.0,164.6,synthetic_proxy
Badulla,Carrot,Yala,2023,401.2,495.1,synthetic_proxy
Batticaloa,Carrot,Yala,2023,75.0,93.7,synthetic_proxy
Colombo,Carrot,Yala,2023,373.2,376.3,synthetic_proxy
Galle,Carrot,Yala,2023,89.1,90.8,synthetic_proxy
Gampaha,Carrot,Yala,2023,149.7,169.0,synthetic_proxy
Hambantota,Carrot,Yala,2023,256.5,230.5,synthetic_proxy
Jaffna,Carrot,Yala,2023,121.9,126.8,synthetic_proxy
Kalutara,Carrot,Yala,2023,89.8,89.5,synthetic_proxy
Kandy,Carrot,Yala,2023,187.4,194.5,synthetic_proxy
Kegalle,Carrot,Yala,2023,96.9,87.2,synthetic_proxy
Kilinochchi,Carrot,Yala,2023,70.4,57.0,synthetic_proxy
Kurunegala,Carrot,Yala,2023,336.9,253.1,synthetic_proxy
Mannar,Carrot,Yala,2023,84.6,73.3,synthetic_proxy
Matale,Carrot,Yala,2023,222.3,210.0,synthetic_proxy
Matara,Carrot,Yala,2023,125.0,120.6,synthetic_proxy
Monaragala,Carrot,Yala,2023,123.3,151.9,synthetic_proxy
Mullaitivu,Carrot,Yala,2023,72.1,81.7,synthetic_proxy
Nuwara Eliya,Carrot,Yala,2023,256.2,226.6,synthetic_proxy
Polonnaruwa,Carrot,Yala,2023,86.6,90.2,synthetic_proxy
Puttalam,Carrot,Yala,2023,98.8,94.0,synthetic_proxy
Ratnapura,Carrot,Yala,2023,235.7,227.7,synthetic_proxy
Trincomalee,Carrot,Yala,2023,73.6,75.3,synthetic_proxy
Vavuniya,Carrot,Yala,2023,81.0,87.0,synthetic_proxy
Ampara,Carrot,Maha,2024,117.5,112.7,synthetic_proxy
Anuradhapura,Carrot,Maha,2024,109.2,123.1,synthetic_proxy
Badulla,Carrot,Maha,2024,277.3,239.3,synthetic_proxy
Batticaloa,Carrot,Maha,2024,51.8,51.9,synthetic_proxy
Colombo,Carrot,Maha,2024,258.0,338.4,synthetic_proxy
Galle,Carrot,Maha,2024,61.6,63.2,synthetic_proxy
Gampaha,Carrot,Maha,2024,103.5,121.3,synthetic_proxy
Hambantota,Carrot,Maha,2024,177.3,179.2,synthetic_proxy
Jaffna,Carrot,Maha,2024,84.3,90.1,synthetic_proxy
Kalutara,Carrot,Maha,2024,62.1,61.7,synthetic_proxy
Kandy,Carrot,Maha,2024,129.6,126.9,synthetic_proxy
Kegalle,Carrot,Maha,2024,66.9,60.7,synthetic_proxy
Kilinochchi,Carrot,Maha,2024,48.7,51.2,synthetic_proxy
Kurunegala,Carrot,Maha,2024,232.8,209.0,synthetic_proxy
Mannar,Carrot,Maha,2024,58.5,63.2,synthetic_proxy
Matale,Carrot,Maha,2024,153.6,173.6,synthetic_proxy
Matara,Carrot,Maha,2024,86.4,90.2,synthetic_proxy
Monaragala,Carrot,Maha,2024,85.2,82.3,synthetic_proxy
Mullaitivu,Carrot,Maha,2024,49.8,52.6,synthetic_proxy
Nuwara Eliya,Carrot,Maha,2024,177.1,170.5,synthetic_proxy
Polonnaruwa,Carrot,Maha,2024,59.9,66.6,synthetic_proxy
Puttalam,Carrot,Maha,2024,68.3,53.3,synthetic_proxy
Ratnapura,Carrot,Maha,2024,162.9,156.4,synthetic_proxy
Trincomalee,Carrot,Maha,2024,50.9,38.7,synthetic_proxy
Vavuniya,Carrot,Maha,2024,56.0,45.9,synthetic_proxy
Ampara,Carrot,Yala,2024,130.6,151.9,synthetic_proxy
Anuradhapura,Carrot,Yala,2024,121.3,134.3,synthetic_proxy
Badulla,Carrot,Yala,2024,308.0,281.4,synthetic_proxy
Batticaloa,Carrot,Yala,2024,57.6,47.2,synthetic_proxy
Colombo,Carrot,Yala,2024,286.6,184.6,synthetic_proxy
Galle,Carrot,Yala,2024,68.4,63.9,synthetic_proxy
Gampaha,Carrot,Yala,2024,115.0,148.3,synthetic_proxy
Hambantota,Carrot,Yala,2024,196.9,207.2,synthetic_proxy
Jaffna,Carrot,Yala,2024,93.6,87.3,synthetic_proxy
Kalutara,Carrot,Yala,2024,69.0,72.8,synthetic_proxy
Kandy,Carrot,Yala,2024,143.9,117.0,synthetic_proxy
Kegalle,Carrot,Yala,2024,74.4,71.7,synthetic_proxy
Kilinochchi,Carrot,Yala,2024,54.1,54.7,synthetic_proxy
Kurunegala,Carrot,Yala,2024,258.6,256.0,synthetic_proxy
Mannar,Carrot,Yala,2024,65.0,71.1,synthetic_proxy
Matale,Carrot,Yala,2024,170.7,177.7,synthetic_proxy
Matara,Carrot,Yala,2024,95.9,103.6,synthetic_proxy
Monaragala,Carrot,Yala,2024,94.7,86.8,synthetic_proxy
Mullaitivu,Carrot,Yala,2024,55.4,61.3,synthetic_proxy
Nuwara Eliya,Carrot,Yala,2024,196.7,235.2,synthetic_proxy
Polonnaruwa,Carrot,Yala,2024,66.5,58.8,synthetic_proxy
Puttalam,Carrot,Yala,2024,75.9,67.8,synthetic_proxy
Ratnapura,Carrot,Yala,2024,181.0,210.0,synthetic_proxy
Trincomalee,Carrot,Yala,2024,56.5,55.2,synthetic_proxy
Vavuniya,Carrot,Yala,2024,62.2,72.6,synthetic_proxy
Ampara,Carrot,Maha,2025,115.3,109.2,synthetic_proxy
Anuradhapura,Carrot,Maha,2025,107.2,125.9,synthetic_proxy
Badulla,Carrot,Maha,2025,272.1,276.4,synthetic_proxy
Batticaloa,Carrot,Maha,2025,50.9,52.5,synthetic_proxy
Colombo,Carrot,Maha,2025,253.2,300.7,synthetic_proxy
Galle,Carrot,Maha,2025,60.4,57.8,synthetic_proxy
Gampaha,Carrot,Maha,2025,101.6,90.1,synthetic_proxy
Hambantota,Carrot,Maha,2025,174.0,164.6,synthetic_proxy
Jaffna,Carrot,Maha,2025,82.7,87.2,synthetic_proxy
Kalutara,Carrot,Maha,2025,60.9,49.5,synthetic_proxy
Kandy,Carrot,Maha,2025,127.2,136.9,synthetic_proxy
Kegalle,Carrot,Maha,2025,65.7,61.5,synthetic_proxy
Kilinochchi,Carrot,Maha,2025,47.8,54.4,synthetic_proxy
Kurunegala,Carrot,Maha,2025,228.5,162.8,synthetic_proxy
Mannar,Carrot,Maha,2025,57.4,52.0,synthetic_proxy
Matale,Carrot,Maha,2025,150.8,120.3,synthetic_proxy
Matara,Carrot,Maha,2025,84.8,76.4,synthetic_proxy
Monaragala,Carrot,Maha,2025,83.6,86.1,synthetic_proxy
Mullaitivu,Carrot,Maha,2025,48.9,47.9,synthetic_proxy
Nuwara Eliya,Carrot,Maha,2025,173.8,168.5,synthetic_proxy
Polonnaruwa,Carrot,Maha,2025,58.8,57.6,synthetic_proxy
Puttalam,Carrot,Maha,2025,67.0,68.7,synthetic_proxy
Ratnapura,Carrot,Maha,2025,159.9,140.5,synthetic_proxy
Trincomalee,Carrot,Maha,2025,49.9,54.2,synthetic_proxy
Vavuniya,Carrot,Maha,2025,54.9,59.3,synthetic_proxy
Ampara,Carrot,Yala,2025,109.8,114.9,synthetic_proxy
Anuradhapura,Carrot,Yala,2025,102.0,108.8,synthetic_proxy
Badulla,Carrot,Yala,2025,259.1,268.3,synthetic_proxy
Batticaloa,Carrot,Yala,2025,48.4,60.3,synthetic_proxy
Colombo,Carrot,Yala,2025,241.0,238.5,synthetic_proxy
Galle,Carrot,Yala,2025,57.5,55.4,synthetic_proxy
Gampaha,Carrot,Yala,2025,96.7,87.9,synthetic_proxy
Hambantota,Carrot,Yala,2025,165.6,145.1,synthetic_proxy
Jaffna,Carrot,Yala,2025,78.7,67.0,synthetic_proxy
Kalutara,Carrot,Yala,2025,58.0,51.8,synthetic_proxy
Kandy,Carrot,Yala,2025,121.0,120.0,synthetic_proxy
Kegalle,Carrot,Yala,2025,62.5,65.1,synthetic_proxy
Kilinochchi,Carrot,Yala,2025,45.5,45.8,synthetic_proxy
Kurunegala,Carrot,Yala,2025,217.5,197.5,synthetic_proxy
Mannar,Carrot,Yala,2025,54.7,60.6,synthetic_proxy
Matale,Carrot,Yala,2025,143.5,156.3,synthetic_proxy
Matara,Carrot,Yala,2025,80.7,79.1,synthetic_proxy
Monaragala,Carrot,Yala,2025,79.6,73.4,synthetic_proxy
Mullaitivu,Carrot,Yala,2025,46.6,49.6,synthetic_proxy
Nuwara Eliya,Carrot,Yala,2025,165.4,169.2,synthetic_proxy
Polonnaruwa,Carrot,Yala,2025,55.9,46.2,synthetic_proxy
Puttalam,Carrot,Yala,2025,63.8,63.3,synthetic_proxy
Ratnapura,Carrot,Yala,2025,152.2,157.0,synthetic_proxy
Trincomalee,Carrot,Yala,2025,47.5,42.4,synthetic_proxy
Vavuniya,Carrot,Yala,2025,52.3,53.5,synthetic_proxy
Ampara,Leek,Maha,2014,56.0,46.3,synthetic_proxy
Anuradhapura,Leek,Maha,2014,53.0,61.5,synthetic_proxy
Badulla,Leek,Maha,2014,134.5,154.6,synthetic_proxy
Batticaloa,Leek,Maha,2014,25.1,24.3,synthetic_proxy
Colombo,Leek,Maha,2014,125.2,130.6,synthetic_proxy
Galle,Leek,Maha,2014,29.8,21.2,synthetic_proxy
Gampaha,Leek,Maha,2014,50.2,43.2,synthetic_proxy
Hambantota,Leek,Maha,2014,85.6,82.6,synthetic_proxy
Jaffna,Leek,Maha,2014,39.3,34.2,synthetic_proxy
Kalutara,Leek,Maha,2014,30.1,32.7,synthetic_proxy
Kandy,Leek,Maha,2014,62.9,78.0,synthetic_proxy
Kegalle,Leek,Maha,2014,32.4,27.9,synthetic_proxy
Kilinochchi,Leek,Maha,2014,23.6,21.2,synthetic_proxy
Kurunegala,Leek,Maha,2014,112.8,116.0,synthetic_proxy
Mannar,Leek,Maha,2014,28.2,33.6,synthetic_proxy
Matale,Leek,Maha,2014,74.5,63.6,synthetic_proxy
Matara,Leek,Maha,2014,42.8,44.1,synthetic_proxy
Monaragala,Leek,Maha,2014,41.4,50.5,synthetic_proxy
Mullaitivu,Leek,Maha,2014,24.1,19.3,synthetic_proxy
Nuwara Eliya,Leek,Maha,2014,85.9,72.7,synthetic_proxy
Polonnaruwa,Leek,Maha,2014,28.7,27.2,synthetic_proxy
Puttalam,Leek,Maha,2014,33.1,31.0,synthetic_proxy
Ratnapura,Leek,Maha,2014,78.6,86.3,synthetic_proxy
Trincomalee,Leek,Maha,2014,25.1,25.8,synthetic_proxy
Vavuniya,Leek,Maha,2014,27.1,21.3,synthetic_proxy
Ampara,Leek,Maha,2015,56.0,59.5,synthetic_proxy
Anuradhapura,Leek,Maha,2015,52.9,49.3,synthetic_proxy
Badulla,Leek,Maha,2015,134.4,155.0,synthetic_proxy
Batticaloa,Leek,Maha,2015,25.1,23.2,synthetic_proxy
Colombo,Leek,Maha,2015,125.1,115.5,synthetic_proxy
Galle,Leek,Maha,2015,29.8,31.7,synthetic_proxy
Gampaha,Leek,Maha,2015,50.1,54.7,synthetic_proxy
Hambantota,Leek,Maha,2015,85.6,90.2,synthetic_proxy
Jaffna,Leek,Maha,2015,39.3,31.3,synthetic_proxy
Kalutara,Leek,Maha,2015,30.1,32.0,synthetic_proxy
Kandy,Leek,Maha,2015,62.9,55.1,synthetic_proxy
Kegalle,Leek,Maha,2015,32.4,33.3,synthetic_proxy
Kilinochchi,Leek,Maha,2015,23.6,19.5,synthetic_proxy
Kurunegala,Leek,Maha,2015,112.7,118.8,synthetic_proxy
Mannar,Leek,Maha,2015,28.2,25.4,synthetic_proxy
Matale,Leek,Maha,2015,74.5,63.0,synthetic_proxy
Matara,Leek,Maha,2015,42.8,46.4,synthetic_proxy
Monaragala,Leek,Maha,2015,41.4,42.6,synthetic_proxy
Mullaitivu,Leek,Maha,2015,24.1,22.3,synthetic_proxy
Nuwara Eliya,Leek,Maha,2015,85.9,100.8,synthetic_proxy
Polonnaruwa,Leek,Maha,2015,28.7,27.2,synthetic_proxy
Puttalam,Leek,Maha,2015,33.1,33.2,synthetic_proxy
Ratnapura,Leek,Maha,2015,78.5,81.1,synthetic_proxy
Trincomalee,Leek,Maha,2015,25.0,23.2,synthetic_proxy
Vavuniya,Leek,Maha,2015,27.1,28.6,synthetic_proxy
Ampara,Leek,Yala,2015,43.4,40.6,synthetic_proxy
Anuradhapura,Leek,Yala,2015,41.0,39.0,synthetic_proxy
Badulla,Leek,Yala,2015,104.1,121.1,synthetic_proxy
Batticaloa,Leek,Yala,2015,19.4,17.0,synthetic_proxy
Colombo,Leek,Yala,2015,96.8,68.8,synthetic_proxy
Galle,Leek,Yala,2015,23.1,27.5,synthetic_proxy
Gampaha,Leek,Yala,2015,38.8,50.7,synthetic_proxy
Hambantota,Leek,Yala,2015,66.2,63.0,synthetic_proxy
Jaffna,Leek,Yala,2015,30.4,23.3,synthetic_proxy
Kalutara,Leek,Yala,2015,23.3,22.4,synthetic_proxy
Kandy,Leek,Yala,2015,48.7,47.0,synthetic_proxy
Kegalle,Leek,Yala,2015,25.1,24.5,synthetic_proxy
Kilinochchi,Leek,Yala,2015,18.2,15.8,synthetic_proxy
Kurunegala,Leek,Yala,2015,87.3,93.4,synthetic_proxy
Mannar,Leek,Yala,2015,21.8,23.2,synthetic_proxy
Matale,Leek,Yala,2015,57.7,47.3,synthetic_proxy
Matara,Leek,Yala,2015,33.1,35.9,synthetic_proxy
Monaragala,Leek,Yala,2015,32.1,40.0,synthetic_proxy
Mullaitivu,Leek,Yala,2015,18.7,19.1,synthetic_proxy
Nuwara Eliya,Leek,Yala,2015,66.5,63.8,synthetic_proxy
Polonnaruwa,Leek,Yala,2015,22.2,21.8,synthetic_proxy
Puttalam,Leek,Yala,2015,25.6,27.5,synthetic_proxy
Ratnapura,Leek,Yala,2015,60.8,48.2,synthetic_proxy
Trincomalee,Leek,Yala,2015,19.4,19.8,synthetic_proxy
Vavuniya,Leek,Yala,2015,21.0,20.0,synthetic_proxy
Ampara,Leek,Maha,2016,43.1,52.7,synthetic_proxy
Anuradhapura,Leek,Maha,2016,40.8,39.9,synthetic_proxy
Badulla,Leek,Maha,2016,103.5,124.2,synthetic_proxy
Batticaloa,Leek,Maha,2016,19.3,16.8,synthetic_proxy
Colombo,Leek,Maha,2016,96.3,103.1,synthetic_proxy
Galle,Leek,Maha,2016,22.9,23.8,synthetic_proxy
Gampaha,Leek,Maha,2016,38.6,34.6,synthetic_proxy
Hambantota,Leek,Maha,2016,65.9,67.3,synthetic_proxy
Jaffna,Leek,Maha,2016,30.2,34.6,synthetic_proxy
Kalutara,Leek,Maha,2016,23.2,22.3,synthetic_proxy
Kandy,Leek,Maha,2016,48.4,38.6,synthetic_proxy
Kegalle,Leek,Maha,2016,24.9,24.9,synthetic_proxy
Kilinochchi,Leek,Maha,2016,18.1,16.2,synthetic_proxy
Kurunegala,Leek,Maha,2016,86.8,83.2,synthetic_proxy
Mannar,Leek,Maha,2016,21.7,21.5,synthetic_proxy
Matale,Leek,Maha,2016,57.3,45.6,synthetic_proxy
Matara,Leek,Maha,2016,32.9,26.5,synthetic_proxy
Monaragala,Leek,Maha,2016,31.9,33.7,synthetic_proxy
Mullaitivu,Leek,Maha,2016,18.6,17.4,synthetic_proxy
Nuwara Eliya,Leek,Maha,2016,66.1,45.8,synthetic_proxy
Polonnaruwa,Leek,Maha,2016,22.1,24.1,synthetic_proxy
Puttalam,Leek,Maha,2016,25.5,26.3,synthetic_proxy
Ratnapura,Leek,Maha,2016,60.5,55.3,synthetic_proxy
Trincomalee,Leek,Maha,2016,19.3,16.2,synthetic_proxy
Vavuniya,Leek,Maha,2016,20.8,22.9,synthetic_proxy
Ampara,Leek,Yala,2016,38.5,40.1,synthetic_proxy
Anuradhapura,Leek,Yala,2016,36.3,46.7,synthetic_proxy
Badulla,Leek,Yala,2016,92.3,96.9,synthetic_proxy
Batticaloa,Leek,Yala,2016,17.2,18.0,synthetic_proxy
Colombo,Leek,Yala,2016,85.9,84.2,synthetic_proxy
Galle,Leek,Yala,2016,20.5,22.5,synthetic_proxy
Gampaha,Leek,Yala,2016,34.4,37.0,synthetic_proxy
Hambantota,Leek,Yala,2016,58.7,67.6,synthetic_proxy
Jaffna,Leek,Yala,2016,27.0,25.3,synthetic_proxy
Kalutara,Leek,Yala,2016,20.7,19.6,synthetic_proxy
Kandy,Leek,Yala,2016,43.2,40.7,synthetic_proxy
Kegalle,Leek,Yala,2016,22.3,24.4,synthetic_proxy
Kilinochchi,Leek,Yala,2016,16.2,19.1,synthetic_proxy
Kurunegala,Leek,Yala,2016,77.4,73.1,synthetic_proxy
Mannar,Leek,Yala,2016,19.3,18.3,synthetic_proxy
Matale,Leek,Yala,2016,51.1,53.1,synthetic_proxy
Matara,Leek,Yala,2016,29.4,28.5,synthetic_proxy
Monaragala,Leek,Yala,2016,28.4,31.7,synthetic_proxy
Mullaitivu,Leek,Yala,2016,16.6,12.1,synthetic_proxy
Nuwara Eliya,Leek,Yala,2016,59.0,53.1,synthetic_proxy
Polonnaruwa,Leek,Yala,2016,19.7,17.8,synthetic_proxy
Puttalam,Leek,Yala,2016,22.7,16.4,synthetic_proxy
Ratnapura,Leek,Yala,2016,53.9,47.7,synthetic_proxy
Trincomalee,Leek,Yala,2016,17.2,15.3,synthetic_proxy
Vavuniya,Leek,Yala,2016,18.6,18.1,synthetic_proxy
Ampara,Leek,Maha,2017,45.9,52.0,synthetic_proxy
Anuradhapura,Leek,Maha,2017,43.4,42.1,synthetic_proxy
Badulla,Leek,Maha,2017,110.1,96.5,synthetic_proxy
Batticaloa,Leek,Maha,2017,20.6,20.4,synthetic_proxy
Colombo,Leek,Maha,2017,102.5,115.4,synthetic_proxy
Galle,Leek,Maha,2017,24.4,21.6,synthetic_proxy
Gampaha,Leek,Maha,2017,41.1,36.6,synthetic_proxy
Hambantota,Leek,Maha,2017,70.1,74.8,synthetic_proxy
Jaffna,Leek,Maha,2017,32.2,31.3,synthetic_proxy
Kalutara,Leek,Maha,2017,24.7,26.6,synthetic_proxy
Kandy,Leek,Maha,2017,51.5,51.4,synthetic_proxy
Kegalle,Leek,Maha,2017,26.5,28.8,synthetic_proxy
Kilinochchi,Leek,Maha,2017,19.3,16.9,synthetic_proxy
Kurunegala,Leek,Maha,2017,92.4,92.2,synthetic_proxy
Mannar,Leek,Maha,2017,23.1,22.5,synthetic_proxy
Matale,Leek,Maha,2017,61.0,52.1,synthetic_proxy
Matara,Leek,Maha,2017,35.0,28.5,synthetic_proxy
Monaragala,Leek,Maha,2017,33.9,36.7,synthetic_proxy
Mullaitivu,Leek,Maha,2017,19.8,18.9,synthetic_proxy
Nuwara Eliya,Leek,Maha,2017,70.3,61.7,synthetic_proxy
Polonnaruwa,Leek,Maha,2017,23.5,23.2,synthetic_proxy
Puttalam,Leek,Maha,2017,27.1,30.8,synthetic_proxy
Ratnapura,Leek,Maha,2017,64.3,46.7,synthetic_proxy
Trincomalee,Leek,Maha,2017,20.5,16.8,synthetic_proxy
Vavuniya,Leek,Maha,2017,22.2,19.7,synthetic_proxy
Ampara,Leek,Yala,2017,54.0,63.5,synthetic_proxy
Anuradhapura,Leek,Yala,2017,51.1,52.8,synthetic_proxy
Badulla,Leek,Yala,2017,129.6,141.5,synthetic_proxy
Batticaloa,Leek,Yala,2017,24.2,20.9,synthetic_proxy
Colombo,Leek,Yala,2017,120.6,104.4,synthetic_proxy
Galle,Leek,Yala,2017,28.7,30.3,synthetic_proxy
Gampaha,Leek,Yala,2017,48.3,48.7,synthetic_proxy
Hambantota,Leek,Yala,2017,82.5,87.9,synthetic_proxy
Jaffna,Leek,Yala,2017,37.9,37.0,synthetic_proxy
Kalutara,Leek,Yala,2017,29.0,30.0,synthetic_proxy
Kandy,Leek,Yala,2017,60.6,61.8,synthetic_proxy
Kegalle,Leek,Yala,2017,31.3,34.2,synthetic_proxy
Kilinochchi,Leek,Yala,2017,22.7,24.9,synthetic_proxy
Kurunegala,Leek,Yala,2017,108.7,87.6,synthetic_proxy
Mannar,Leek,Yala,2017,27.2,19.8,synthetic_proxy
Matale,Leek,Yala,2017,71.8,80.5,synthetic_proxy
Matara,Leek,Yala,2017,41.2,47.1,synthetic_proxy
Monaragala,Leek,Yala,2017,39.9,35.1,synthetic_proxy
Mullaitivu,Leek,Yala,2017,23.3,18.1,synthetic_proxy
Nuwara Eliya,Leek,Yala,2017,82.8,83.8,synthetic_proxy
Polonnaruwa,Leek,Yala,2017,27.7,30.7,synthetic_proxy
Puttalam,Leek,Yala,2017,31.9,38.8,synthetic_proxy
Ratnapura,Leek,Yala,2017,75.7,80.4,synthetic_proxy
Trincomalee,Leek,Yala,2017,24.1,23.1,synthetic_proxy
Vavuniya,Leek,Yala,2017,26.1,23.3,synthetic_proxy
Ampara,Leek,Maha,2018,39.8,39.9,synthetic_proxy
Anuradhapura,Leek,Maha,2018,37.6,36.3,synthetic_proxy
Badulla,Leek,Maha,2018,95.5,83.9,synthetic_proxy
Batticaloa,Leek,Maha,2018,17.8,22.2,synthetic_proxy
Colombo,Leek,Maha,2018,88.9,107.9,synthetic_proxy
Galle,Leek,Maha,2018,21.2,24.1,synthetic_proxy
Gampaha,Leek,Maha,2018,35.6,31.7,synthetic_proxy
Hambantota,Leek,Maha,2018,60.8,67.0,synthetic_proxy
Jaffna,Leek,Maha,2018,27.9,30.0,synthetic_proxy
Kalutara,Leek,Maha,2018,21.4,22.5,synthetic_proxy
Kandy,Leek,Maha,2018,44.7,51.4,synthetic_proxy
Kegalle,Leek,Maha,2018,23.0,24.8,synthetic_proxy
Kilinochchi,Leek,Maha,2018,16.7,18.2,synthetic_proxy
Kurunegala,Leek,Maha,2018,80.1,86.2,synthetic_proxy
Mannar,Leek,Maha,2018,20.0,20.8,synthetic_proxy
Matale,Leek,Maha,2018,52.9,41.6,synthetic_proxy
Matara,Leek,Maha,2018,30.4,30.7,synthetic_proxy
Monaragala,Leek,Maha,2018,29.4,27.5,synthetic_proxy
Mullaitivu,Leek,Maha,2018,17.1,14.5,synthetic_proxy
Nuwara Eliya,Leek,Maha,2018,61.0,73.3,synthetic_proxy
Polonnaruwa,Leek,Maha,2018,20.4,24.6,synthetic_proxy
Puttalam,Leek,Maha,2018,23.5,27.3,synthetic_proxy
Ratnapura,Leek,Maha,2018,55.8,57.5,synthetic_proxy
Trincomalee,Leek,Maha,2018,17.8,20.7,synthetic_proxy
Vavuniya,Leek,Maha,2018,19.2,19.3,synthetic_proxy
Ampara,Leek,Yala,2018,44.5,45.6,synthetic_proxy
Anuradhapura,Leek,Yala,2018,42.1,36.6,synthetic_proxy
Badulla,Leek,Yala,2018,106.8,111.9,synthetic_proxy
Batticaloa,Leek,Yala,2018,19.9,20.1,synthetic_proxy
Colombo,Leek,Yala,2018,99.4,83.9,synthetic_proxy
Galle,Leek,Yala,2018,23.7,23.5,synthetic_proxy
Gampaha,Leek,Yala,2018,39.8,39.5,synthetic_proxy
Hambantota,Leek,Yala,2018,68.0,82.7,synthetic_proxy
Jaffna,Leek,Yala,2018,31.2,34.6,synthetic_proxy
Kalutara,Leek,Yala,2018,23.9,24.0,synthetic_proxy
Kandy,Leek,Yala,2018,50.0,51.5,synthetic_proxy
Kegalle,Leek,Yala,2018,25.8,25.9,synthetic_proxy
Kilinochchi,Leek,Yala,2018,18.7,18.3,synthetic_proxy
Kurunegala,Leek,Yala,2018,89.6,78.0,synthetic_proxy
Mannar,Leek,Yala,2018,22.4,22.0,synthetic_proxy
Matale,Leek,Yala,2018,59.2,53.9,synthetic_proxy
Matara,Leek,Yala,2018,34.0,28.9,synthetic_proxy
Monaragala,Leek,Yala,2018,32.9,34.9,synthetic_proxy
Mullaitivu,Leek,Yala,2018,19.2,20.1,synthetic_proxy
Nuwara Eliya,Leek,Yala,2018,68.2,53.6,synthetic_proxy
Polonnaruwa,Leek,Yala,2018,22.8,22.5,synthetic_proxy
Puttalam,Leek,Yala,2018,26.3,29.4,synthetic_proxy
